,acc_train,acc_test,train_loss,test_loss
0,0.22394999861717224,0.3449000120162964,3.7418582439422607,2.5959625244140625
1,0.4163333475589752,0.49390000104904175,2.1905484199523926,1.7990816831588745
2,0.5291500091552734,0.5794000029563904,1.6469244956970215,1.4153178930282593
3,0.5974000096321106,0.6383000016212463,1.3584754467010498,1.1976252794265747
4,0.6439333558082581,0.6776000261306763,1.1813782453536987,1.056923508644104
5,0.6766666769981384,0.7023000121116638,1.061621069908142,0.959975004196167
6,0.7017833590507507,0.7257999777793884,0.9749009013175964,0.8879655003547668
7,0.7212333083152771,0.7425000071525574,0.9084486365318298,0.8329592943191528
8,0.736549973487854,0.7588000297546387,0.8559664487838745,0.7874570488929749
9,0.7492333054542542,0.7706000208854675,0.8129767775535583,0.7514450550079346
10,0.760533332824707,0.7792999744415283,0.7770403623580933,0.7200008034706116
11,0.7691666483879089,0.7886999845504761,0.7464506030082703,0.6936656832695007
12,0.777649998664856,0.795199990272522,0.7199214100837708,0.670713484287262
13,0.7857833504676819,0.8026000261306763,0.6966472864151001,0.6507810354232788
14,0.7918000221252441,0.8087999820709229,0.6761711835861206,0.6324066519737244
15,0.7974666953086853,0.8127999901771545,0.6576755046844482,0.6164917349815369
16,0.8022333383560181,0.8176000118255615,0.6411333084106445,0.6020792722702026
17,0.8076000213623047,0.8210999965667725,0.6261011362075806,0.5885130763053894
18,0.8116833567619324,0.8241000175476074,0.6122180819511414,0.5765109658241272
19,0.815833330154419,0.8267999887466431,0.599665641784668,0.5656041502952576
20,0.8195000290870667,0.8305000066757202,0.5881190299987793,0.5551289319992065
21,0.8230999708175659,0.8331000208854675,0.5771927237510681,0.5461369156837463
22,0.8262500166893005,0.8349000215530396,0.5672705769538879,0.5368972420692444
23,0.8293499946594238,0.8367999792098999,0.5578819513320923,0.5290922522544861
24,0.8314833045005798,0.8402000069618225,0.549099862575531,0.5210781097412109
25,0.8340833187103271,0.8421000242233276,0.5409584045410156,0.5136431455612183
26,0.8374166488647461,0.8435999751091003,0.533184289932251,0.5069436430931091
27,0.8391166925430298,0.8464999794960022,0.5258587002754211,0.5006698966026306
28,0.8414666652679443,0.8471999764442444,0.5189882516860962,0.4942496716976166
29,0.8436166644096375,0.8495000004768372,0.5122693777084351,0.48873189091682434
30,0.8450999855995178,0.8507999777793884,0.5060986280441284,0.48328226804733276
31,0.8473166823387146,0.8521999716758728,0.5001969933509827,0.47778773307800293
32,0.8489166498184204,0.854200005531311,0.4944712519645691,0.47281381487846375
33,0.850933313369751,0.8561999797821045,0.48911362886428833,0.46800532937049866
34,0.8527666926383972,0.8572999835014343,0.4839007258415222,0.46359527111053467
35,0.8540166616439819,0.859000027179718,0.47898155450820923,0.4589748978614807
36,0.8551333546638489,0.8604999780654907,0.4742056727409363,0.45489731431007385
37,0.8565333485603333,0.8623999953269958,0.4696168899536133,0.4511248469352722
38,0.8576333522796631,0.863099992275238,0.4652116596698761,0.44730454683303833
39,0.8586999773979187,0.8650000095367432,0.4609641134738922,0.44337329268455505
